year,name,house,pop,popm,popf,foreign,density,area,numhouse,old65
1991,합계,3330317,10904527,5485353,5419174,,18014,605.33,3.27,
1991,종로구,78169,236806,119127,117679,,9865,24.01,3.03,
1991,중구,61495,184142,93312,90830,,18438,9.99,2.99,
1991,용산구,96696,294341,147914,146427,,13460,21.87,3.04,
1991,성동구,244272,789014,401375,387639,,23273,33.9,3.23,
1991,동대문구,149914,479776,242828,236948,,32477,14.77,3.2,
1991,중랑구,132908,450728,227075,223653,,24866,18.13,3.39,
1991,성북구,165634,542532,273509,269023,,22329,24.3,3.28,
1991,도봉구,221001,744880,373908,370972,,16721,44.55,3.37,
1991,노원구,161450,525500,263000,262500,,14758,35.61,3.25,
1991,은평구,147331,495530,245477,250053,,16699,29.67,3.36,
1991,서대문구,127136,392586,196281,196305,,22192,17.69,3.09,
1991,마포구,140847,442271,220887,221384,,18526,23.87,3.14,
1991,양천구,150598,508001,255927,252074,,28921,17.57,3.37,
1991,강서구,121174,408676,205712,202964,,9862,41.44,3.37,
1991,구로구,228191,747623,381977,365646,,22795,32.8,3.28,
1991,영등포구,141789,462359,233772,228587,,18922,24.44,3.26,
1991,동작구,133178,429173,216432,212741,,26206,16.38,3.22,
1991,관악구,177430,588638,298078,290560,,19855,29.65,3.32,
1991,서초구,125754,420783,208731,212052,,8852,47.53,3.35,
1991,강남구,150682,517218,258052,259166,,13271,38.97,3.43,
1991,송파구,207969,688121,342060,346061,,20371,33.78,3.31,
1991,강동구,166699,555829,279919,275910,,22744,24.44,3.33,
1992,합계,3383169,10969862,5519096,5450766,34632,18121,605.36,3.24,434348
1992,종로구,75752,227988,114648,113340,1748,9496,24.01,3.01,12096
1992,중구,59667,176836,89537,87299,2231,17701,9.99,2.96,8857
1992,용산구,96832,287124,144600,142524,6453,13135,21.86,2.97,13957
1992,성동구,244888,780526,397121,383405,2141,22991,33.95,3.19,28493
1992,동대문구,149094,470594,238385,232209,751,31862,14.77,3.16,19142
1992,중랑구,136876,458391,230937,227454,282,25284,18.13,3.35,15849
1992,성북구,163995,527296,266530,260766,1353,21699,24.3,3.22,23020
1992,도봉구,229923,766799,385385,381414,824,17212,44.55,3.34,29689
1992,노원구,174005,571833,284049,287784,662,16049,35.63,3.29,24345
1992,은평구,153700,507551,251514,256037,857,17107,29.67,3.3,20672
1992,서대문구,122844,390140,195000,195140,2939,22054,17.69,3.18,17175
1992,마포구,139628,432453,216103,216350,1803,18125,23.86,3.1,19178
1992,양천구,150749,508096,255938,252158,955,28918,17.57,3.37,18625
1992,강서구,132114,437932,219591,218341,602,10573,41.42,3.31,16907
1992,구로구,229614,738914,378569,360345,774,22528,32.8,3.22,23553
1992,영등포구,141916,453256,229476,223780,1165,18546,24.44,3.19,16577
1992,동작구,134670,427486,215826,211660,761,26114,16.37,3.17,17142
1992,관악구,181386,589655,299359,290296,484,19887,29.65,3.25,20460
1992,서초구,126592,419765,208470,211295,2588,8865,47.35,3.32,17488
1992,강남구,165325,559068,278053,281015,2948,14280,39.15,3.38,23984
1992,송파구,208638,689419,343176,346243,1631,20409,33.78,3.3,26144
1992,강동구,164961,548740,276829,271911,680,22453,24.44,3.33,20995
1993,합계,3430528,10925464,5496638,5428826,35965,18047,605.4,3.18,444277
1993,종로구,74952,222423,111786,110637,1374,9264,24.01,2.97,12441
1993,중구,57566,167383,84721,82662,2254,16755,9.99,2.91,8909
1993,용산구,94248,276439,138562,137877,5060,12646,21.86,2.93,14392
1993,성동구,245399,767976,390698,377278,2032,22627,33.94,3.13,28993
1993,동대문구,148308,459000,232465,226535,851,31076,14.77,3.09,19346
1993,중랑구,140153,460157,232055,228102,339,25381,18.13,3.28,16205
1993,성북구,163286,514240,260126,254114,1453,21162,24.29,3.15,23506
1993,도봉구,238014,780472,392106,388366,862,17519,44.55,3.28,30874
1993,노원구,180152,588188,292198,295990,789,16522,35.6,3.26,25492
1993,은평구,157781,512196,253810,258386,735,17257,29.68,3.25,21266
1993,서대문구,123155,381905,190864,191041,3331,21589,17.69,3.1,17428
1993,마포구,138755,422406,211254,211152,1833,17704,23.86,3.04,19474
